Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20
,Cote d'Ivoire,7.54,-5.5471,2,0,-2,-3,0,4,5,10,12,13,18,17,7,2,5,6,10,15,5,15,22,22,18,7,2,9,17,18,11,5,13,17,9,-2,-2,0,5,0,-2,10,19,13,-2,0,-1,-2,0,15,19,21,22,21,21,21,19,14,6,18,20,18,19,22,22,22,23,21,22,22,22,21,21,20,22,22,22,22,23,23,22,23,23,23,22,21,22,22,23,23,23,22,24,23,23,24,23,23,24,24,24,22,23,22,22,23,23,22,23,24,23,23,22,23,23,23,22,23,22,23,23,23,23,24,24,23,24,24,23,24,23,23,22,22,22,23,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,24,23,23,23,22,22,22,21,22,22,23,23,23,23,23,22,22,22,23,22,22,22,22,22,22,22,22,21,22,22,22,22,21,21,22,22,21,21,21,21,22,21,20,20,20,21,21,22,22,22,22,21,21,21,21,21,21,21,21,21,21,19,18,18,19,20,20,20,20,21,20
,Croatia,45.1,15.2,-5,-10,-8,-5,-8,-13,-17,-8,-6,-1,-2,-4,-4,-1,-1,0,-3,-4,-4,-5,-7,-8,-6,-5,1,1,0,2,0,-4,2,4,4,5,0,-9,-15,-13,-5,-1,3,2,-2,-3,1,-2,-2,1,1,-2,-6,-7,-7,-1,1,2,0,-6,-7,-7,1,2,1,-2,-5,0,0,-6,-6,-1,0,0,3,-2,-8,-9,-7,0,0,-1,0,-7,-15,-8,-7,-5,-1,-1,0,-5,-10,-14,-10,-6,-4,-3,-4,-8,-11,-7,-4,0,0,0,-8,-5,-2,0,2,2,-1,-1,-1,-1,0,3,3,5,6,4,6,6,1,0,2,0,-1,0,0,2,4,4,6,9,6,4,7,9,10,8,2,3,6,5,6,3,3,3,4,3,1,5,6,6,6,10,9,8,10,10,8,7,7,8,9,10,9,9,9,8,8,8,9,8,6,9,10,10,11,10,11,12,14,13,9,8,11,6,5,7,7,10,6,5,5,7,9,9,7,7,10,11,13,14,14,11,11,12,12,14,16,17,16,14,13,14,9,12,13,14,14,13,14,15
,Cuba,21.521757,-77.78116700000002,21,21,20,20,21,20,16,18,19,21,21,21,21,21,19,19,21,18,20,20,21,20,11,13,17,18,19,19,18,19,19,19,20,18,14,18,20,19,20,20,21,20,21,20,21,20,20,20,20,21,21,20,20,19,18,18,19,21,21,19,14,13,17,20,21,21,20,18,15,17,18,19,20,20,20,19,18,18,19,20,19,19,19,18,19,19,18,19,19,20,20,20,19,21,19,17,17,18,20,20,19,18,18,21,22,22,22,21,21,21,21,21,21,22,22,23,22,22,21,20,21,21,22,22,21,21,23,23,23,23,23,23,22,23,23,23,22,23,23,23,23,23,23,23,23,24,24,24,24,24,23,23,23,23,23,24,24,24,25,24,23,23,23,23,23,23,23,24,24,24,25,25,24,25,25,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,25,23,24,23,23,24,24,24,24,24,24,24,24,24,24,24,24,25,24,23,24,25,24,24,25,25,25,24,24,24,23,25,24,24
,Cyprus,35.1264,33.4299,6,7,8,6,6,8,8,7,6,3,3,5,7,8,8,6,8,6,6,3,-1,-1,2,-4,-3,3,7,8,7,8,0,2,3,4,8,10,10,4,-1,-8,-4,1,8,9,5,5,5,2,6,8,6,7,7,6,8,6,6,9,10,7,5,7,8,9,9,8,8,9,10,8,6,9,12,13,12,11,5,0,0,0,2,4,6,7,9,10,11,9,7,8,11,11,8,7,9,10,12,10,10,9,9,7,6,5,5,8,9,7,7,7,8,9,12,12,11,10,10,10,11,12,13,13,12,13,13,10,11,13,9,8,12,10,8,10,7,7,6,3,4,7,7,14,11,2,1,10,13,11,9,11,11,11,12,12,13,12,9,6,10,14,14,14,10,13,16,15,13,13,15,14,13,13,17,17,16,16,15,14,15,16,16,13,16,14,15,18,20,19,18,19,19,19,19,19,21,20,18,18,19,19,18,16,17,17,16,15,15,15,18,17,16,17,17,20,20,19,17,18,18,18,19,19,20,19
,Czechia,49.8175,15.473,-3,-9,-4,0,-4,-5,-5,-1,1,0,0,-3,-1,-3,-4,-2,-2,-1,-1,-3,-7,-7,-4,-6,-6,-4,-1,-1,-2,-1,5,6,4,4,0,-3,-4,-1,-3,-2,0,-1,-3,-2,1,0,0,3,1,0,-1,-1,-1,4,0,4,0,-3,-2,-2,1,0,2,-1,-1,2,0,-2,0,0,6,6,0,-3,-9,-5,1,4,5,5,0,-9,-13,-12,-11,-5,0,1,-1,-9,-6,-9,-6,-1,1,-1,0,-1,-3,0,4,1,2,-5,-2,3,5,5,5,-1,-1,0,1,3,3,1,2,7,9,8,7,5,4,5,3,2,2,5,8,12,10,0,2,6,4,4,6,7,10,8,6,5,11,7,7,8,6,7,6,5,6,9,8,11,11,11,10,12,9,10,11,12,14,17,16,13,12,13,14,13,12,11,13,11,10,12,14,16,17,15,12,15,16,13,12,15,14,8,10,14,16,11,9,8,9,12,12,11,12,15,15,14,11,11,13,13,14,14,15,13,10,11,11,13,14,11,10,13,15,15,16,17,16,15
Faroe Islands,Denmark,61.8926,-6.9118,4,0,-6,-3,4,3,2,-3,-1,0,0,-2,1,0,2,1,2,-1,3,4,0,4,0,-2,4,0,-2,-1,-1,0,0,-4,-4,0,-1,3,5,1,0,-2,-3,-2,-7,-7,0,0,-1,0,0,0,-3,-1,-2,-4,-4,-1,-3,-3,-4,0,0,-3,-2,-3,-1,-1,0,0,-1,1,-2,-2,-4,-2,-6,-1,-4,-2,-2,-6,0,-1,2,0,0,0,-1,-8,0,1,1,0,-7,-10,-4,3,2,1,-1,-2,1,4,-5,4,2,0,0,1,3,3,3,4,4,2,1,1,0,-2,-2,0,1,0,-2,-2,3,4,1,1,-5,-8,-1,-5,-2,1,-2,-2,0,0,3,6,6,5,6,4,6,4,3,6,7,7,7,5,3,2,1,3,4,-1,1,5,5,5,4,6,7,7,8,7,7,8,8,8,6,6,6,7,9,10,9,8,5,2,2,2,5,5,3,3,5,6,4,5,8,8,7,7,9,6,6,5,6,5,5,6,8,8,7,6,6,6,6,9,7,7,7,7,9,8,8,7,8,8,9,10
Greenland,Denmark,71.7069,-42.6043,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-44,-41,-41,-43,-38,-41,-47,-38,-38,-44,-52,-37,-27,-37,-29,-38,-40,-46,-43,-48,-50,-42,-44,-35,-39,-45,-46,-53,-66,-63,-58,-71,-62,-62,-68,-65,-46,-29,-32,-43,-47,-42,-36,-49,-42,-40,-50,-51,-52,-58,-67,-56,-47,-55,-42,-32,-47,-55,-48,-57,-41,-49,-53,-24,-17,-25,-35,-53,-41,-51,-52,-49,-38,-28,-37,-39,-36,-33,-18,-28,-31,-20,-20,-22,-28,-31,-18,-19,-17,-20,-20,-21,-17,-20,-32,-37,-31,-27,-22,-22,-31,-31,-30,-30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-13,-16,-15,-10,-12,-16,-20,-13,-14,-17
,Denmark,56.2639,9.5018,1,2,3,0,0,4,3,5,3,2,1,5,2,4,5,3,4,3,0,3,4,1,4,4,3,2,3,3,1,3,5,6,0,1,0,-1,3,3,1,4,2,0,1,0,0,5,6,2,2,2,2,2,3,0,0,1,-1,-3,0,2,1,1,1,0,0,0,-1,4,4,3,3,2,0,-3,2,4,3,5,1,-3,-7,-6,-8,-8,-9,-6,-6,-2,-13,-5,-5,2,1,-3,0,1,2,3,1,0,0,1,4,-2,3,2,-2,-5,-4,-3,0,0,0,3,0,2,4,3,3,6,5,6,4,0,-1,2,4,5,5,3,-4,-1,-4,-1,3,5,5,7,6,4,6,9,8,7,8,7,6,5,5,5,6,8,8,9,9,8,7,8,8,6,8,9,12,15,10,8,9,14,14,15,13,11,12,11,13,14,16,17,13,10,11,11,9,8,13,13,9,8,8,7,8,8,9,10,12,11,11,12,14,15,10,8,8,10,12,12,14,13,12,10,10,12,13,13,10,8,12,14,13,14,14,13,16,13
,Diamond Princess,0.0,0.0,24,24,24,23,22,23,24,24,24,25,25,24,24,25,24,25,25,25,24,24,24,25,25,25,25,24,25,25,25,25,25,24,24,24,24,24,24,25,25,25,24,24,25,24,24,26,25,25,24,25,25,25,26,26,25,25,25,26,26,26,26,26,26,26,25,25,25,25,26,25,25,25,26,26,25,25,25,25,25,25,25,25,26,24,24,24,24,25,25,25,25,25,25,24,25,25,25,25,26,25,25,25,25,25,26,26,25,25,25,25,24,25,25,25,25,24,24,25,25,25,25,25,25,25,25,25,25,26,25,24,24,25,25,25,25,25,25,25,24,23,24,23,24,24,25,25,24,25,25,24,24,24,24,24,24,23,23,23,23,23,23,22,22,22,22,21,21,22,21,21,20,21,22,20,20,20,21,21,20,20,20,20,20,21,21,21,21,21,22,21,20,20,20,21,20,20,20,20,21,21,22,21,21,21,21,20,19,20,20,19,19,20,20,19,19,19,19,20,20,20,21,20,20,20
,Djibouti,11.8251,42.5903,14,14,13,13,14,14,16,14,14,14,15,11,12,13,13,10,9,10,11,11,12,13,15,14,14,13,13,13,11,12,11,13,14,14,12,13,11,10,10,9,12,14,13,14,10,9,9,12,12,12,12,14,15,13,11,11,13,13,6,5,6,12,15,9,9,8,11,12,13,10,10,9,13,15,15,17,16,16,16,15,16,17,17,16,17,14,15,16,17,16,16,15,15,14,15,13,12,10,7,11,15,17,17,17,18,19,18,17,17,18,17,15,16,16,16,18,18,18,17,18,18,16,17,18,17,17,18,17,16,13,9,4,7,5,8,13,13,13,12,10,10,8,6,6,8,13,13,11,8,7,9,9,8,6,11,16,14,14,12,12,10,8,5,7,10,10,9,9,8,4,10,11,8,8,7,9,5,3,6,8,9,8,10,11,10,12,10,11,12,11,7,10,9,11,10,10,11,10,9,11,12,11,11,11,12,14,14,15,16,14,16,16,14,13,17,15,14,15,15,15,14,13,13,13
,Dominica,15.415,-61.371,21,21,21,22,21,21,21,21,21,21,21,21,21,20,21,21,20,21,21,20,20,21,21,21,21,21,20,20,20,21,21,21,21,21,20,20,20,21,21,21,21,20,21,21,20,21,21,21,21,21,20,19,19,19,20,21,21,21,19,20,20,20,20,20,20,20,20,20,19,19,21,20,20,20,20,20,20,20,20,21,20,21,21,21,21,20,20,20,21,20,19,19,19,20,21,22,22,22,22,21,21,22,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,21,21,22,22,21,20,21,22,22,21,21,23,23,23,22,22,22,23,22,22,22,22,22,22,23,23,22,22,23,23,22,22,23,22,23,22,22,22,22,22,23,23,24,24,24,23,23,23,24,24,23,22,23,23,23,23,22,23,24,23,23,22,23,23,24,23,23,22,22,22,22,23,22,22,22,22,24,24,23,24,24,24,24,23,23,23,24,23,22,23,24,24,23,23,23
,Dominican Republic,18.7357,-70.1627,18,18,18,16,17,16,15,16,17,17,17,16,17,17,16,17,16,14,16,17,17,17,15,16,15,16,17,15,15,16,15,15,16,16,17,17,16,16,16,16,16,17,17,16,16,15,17,17,18,17,17,16,15,17,17,16,15,17,18,17,16,16,17,18,17,16,15,15,17,16,16,16,16,16,17,15,14,14,16,17,16,15,14,17,16,16,17,17,16,17,16,15,15,15,16,18,18,18,19,20,19,19,18,18,18,17,17,17,17,16,17,17,16,17,18,17,17,16,16,16,17,17,17,17,18,19,18,19,18,18,17,18,18,18,17,17,17,17,19,18,17,18,19,19,19,18,19,19,19,18,18,17,18,19,19,19,18,19,18,19,19,18,18,18,19,20,19,18,19,19,19,19,19,20,19,18,18,20,20,21,19,19,19,20,19,19,20,19,21,20,19,19,19,19,20,20,20,19,19,19,20,19,20,20,20,19,20,20,19,20,20,21,22,20,20,20,20,19,19,19,21,20,20,19
,Ecuador,-1.8312,-78.1834,17,18,17,16,17,18,18,17,16,14,16,17,17,17,17,17,17,17,17,17,17,18,19,18,18,18,17,18,18,17,18,18,17,18,17,17,17,16,17,18,18,17,16,18,18,18,17,17,17,17,18,18,19,18,18,18,18,18,18,18,17,17,17,18,17,17,17,17,18,17,17,18,17,17,18,18,18,18,17,17,17,17,17,18,17,17,17,18,17,17,16,17,17,16,17,18,18,18,18,18,17,17,17,18,18,17,16,16,15,17,16,16,17,17,18,17,17,17,17,18,17,17,16,17,17,18,18,16,16,16,17,17,18,17,17,17,16,17,17,17,16,17,17,17,16,16,16,17,17,17,17,17,17,17,17,17,16,17,17,17,17,16,14,15,16,16,16,16,17,17,16,15,16,17,15,16,16,16,17,16,16,16,16,16,16,16,17,17,16,17,16,16,17,17,16,16,15,15,14,14,16,15,16,16,16,16,16,15,16,16,16,15,15,16,16,16,14,14,15,14,14,15,16,17
,Egypt,26.820553000000004,30.802498,1,-1,1,-1,-1,0,0,-1,0,3,4,2,2,-2,3,1,6,3,2,2,2,1,1,2,-2,-5,-7,-3,1,2,0,3,0,2,5,3,-1,-2,-1,0,0,1,0,0,0,4,5,7,6,4,1,1,0,0,3,3,2,0,-4,1,1,0,-2,-8,-14,0,3,-4,-4,0,5,8,6,7,11,7,6,2,-2,0,0,-6,-7,2,2,-3,0,7,-2,-9,-8,-1,1,-2,-8,-7,5,5,0,2,2,-2,0,-4,0,-4,8,7,8,4,0,-7,1,-4,8,5,0,0,2,1,0,3,4,-1,5,4,1,-4,8,1,-2,-7,-2,0,3,9,8,7,4,4,1,9,9,4,1,2,4,5,2,-1,-2,1,2,4,8,5,-5,0,7,5,3,2,1,2,4,6,4,2,7,7,7,4,5,6,5,10,13,12,9,7,5,3,5,3,5,5,3,0,9,13,13,12,8,8,6,7,9,10,10,8,11,8,10,11,12,9,3,6,10,11,12,11,9,5,5,7,10,8,7,7,12,11,9,12
,El Salvador,13.7942,-88.8965,18,16,17,17,17,14,14,15,14,15,15,16,15,15,15,14,15,16,16,16,15,14,13,15,16,15,16,17,17,16,17,18,17,15,14,16,16,17,17,17,14,14,15,14,15,14,15,13,14,14,15,16,14,13,14,15,17,17,15,12,12,13,16,16,16,16,15,14,14,15,16,14,13,16,18,15,15,16,16,15,16,16,16,14,16,17,17,17,17,18,17,17,19,19,19,20,21,20,18,18,19,19,20,19,20,21,20,18,17,18,18,19,20,20,19,20,20,19,18,20,20,19,17,19,20,21,20,20,20,21,21,20,19,21,21,21,21,21,21,20,20,20,21,21,21,21,21,21,20,20,20,20,21,21,21,21,21,22,22,22,22,22,21,20,20,20,21,21,21,21,20,20,21,21,20,21,18,19,19,19,20,20,20,19,20,21,21,21,20,21,21,21,20,19,20,20,20,19,20,20,21,21,21,21,20,20,20,21,20,21,20,21,21,19,21,22,22,21,21,21,20,21,21,21
,Equatorial Guinea,1.6508,10.2679,20,19,19,19,19,20,19,19,20,18,18,18,19,20,21,20,19,19,19,19,19,19,19,18,16,16,18,19,20,20,20,20,20,20,19,19,20,20,20,20,19,19,19,19,19,20,20,20,19,19,20,20,20,21,20,20,20,19,20,21,20,20,20,21,21,20,20,19,19,20,21,20,20,20,21,20,21,20,20,19,18,19,20,20,18,19,19,21,21,20,20,20,20,21,19,19,20,20,21,19,20,20,18,20,21,21,20,19,19,19,17,19,20,21,21,19,19,20,20,20,21,21,20,21,20,20,20,20,20,20,20,20,19,20,21,20,20,20,20,20,19,20,20,20,20,20,20,21,20,20,20,20,19,20,20,20,20,20,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19,20,20,19,19,18,17,18,19,19,19,19,19,18,19,18,18,19,19,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,19,18,17,18,17,18,18,18,18,17,16,16,17,17,17,18,18,19
,Eritrea,15.1794,39.7823,23,23,23,23,23,22,23,23,23,21,19,17,18,18,19,20,18,19,20,21,20,19,18,18,18,17,17,19,21,22,22,23,22,22,23,22,22,22,22,22,19,18,17,19,21,18,19,20,23,23,21,19,20,22,22,22,19,19,21,21,22,20,21,22,22,19,19,22,22,22,21,18,17,22,19,19,21,23,21,20,20,21,20,19,14,15,18,19,22,19,20,22,24,25,24,24,21,19,19,23,24,21,20,20,20,17,20,24,25,24,23,24,24,24,25,25,25,25,25,25,25,24,21,20,23,26,27,26,25,25,26,26,25,25,24,24,23,24,21,22,23,23,20,21,23,23,22,22,22,21,20,19,18,16,19,22,24,24,23,22,21,21,22,24,23,22,24,24,22,23,25,24,23,23,21,21,22,22,24,23,23,22,23,23,23,22,23,23,24,23,23,23,22,23,23,23,24,24,24,23,23,21,23,24,24,25,25,25,24,24,25,25,25,26,25,25,25,25,24,24,24,23,23,23
,Estonia,58.5953,25.0136,-2,0,1,-1,-7,0,2,1,0,0,-5,2,0,0,4,3,0,-1,1,0,1,-3,-4,1,-2,0,2,0,-1,0,-1,0,2,-2,-10,-8,-10,-12,0,0,1,0,0,0,-2,-2,0,3,1,0,0,-1,0,0,-3,-4,-1,-5,-7,-7,-1,0,0,0,0,0,-1,-2,-1,0,1,1,-1,-11,-8,-1,-3,3,0,-2,-13,-13,-10,-4,-3,-4,-5,-3,-13,-13,-16,-2,1,0,-4,-7,1,1,0,0,-4,-5,0,-1,0,1,-1,-2,-2,0,1,0,-1,-1,-6,-4,-6,-2,0,-4,-2,3,6,5,4,0,-4,-1,1,-3,3,-5,0,-1,0,0,1,0,0,1,0,-1,-5,7,4,4,4,6,0,3,1,1,0,4,10,10,9,9,16,14,14,15,13,6,5,13,16,15,18,19,16,10,10,10,10,12,12,14,17,17,14,13,13,10,12,15,12,11,10,9,10,11,11,10,8,9,10,12,12,14,15,13,10,8,9,12,10,13,16,14,12,13,10,10,13,14,13,13,16,16,16,13,9,8
,Eswatini,-26.5225,31.4659,20,21,21,20,20,21,18,18,21,20,19,19,20,20,18,19,20,21,19,16,15,18,19,18,19,19,16,17,18,19,17,18,19,16,18,20,20,21,21,22,20,18,16,17,19,19,19,18,20,21,22,22,22,17,14,15,15,18,18,15,15,16,16,16,15,15,17,16,16,17,19,19,19,19,20,19,14,16,17,18,19,19,18,18,18,16,14,16,15,17,17,17,12,14,17,15,12,14,12,15,15,15,12,19,17,18,17,17,16,12,13,14,16,16,15,16,17,16,14,12,12,11,7,12,14,14,12,13,13,11,8,6,7,10,9,5,11,6,9,10,11,9,6,5,4,0,-4,-2,-3,7,9,9,9,7,9,10,10,9,7,9,5,3,-11,-5,-6,-7,8,10,9,8,8,4,6,6,6,6,6,0,-2,11,7,9,4,5,9,-4,-1,-1,11,10,7,0,-2,-6,-11,-4,-1,-8,-7,-8,3,0,4,7,9,7,1,9,10,0,2,9,6,5,5,-5,10,9,6,8,0,5,8,1
,Ethiopia,9.145,40.4897,12,14,11,11,10,13,14,11,11,10,13,14,15,13,11,8,1,2,4,7,8,10,12,15,16,16,15,15,12,12,11,12,12,13,12,10,12,11,9,6,8,13,16,14,10,10,9,11,14,14,10,13,14,13,9,8,11,13,4,4,5,5,8,9,8,9,10,10,10,13,14,12,10,14,15,18,18,16,15,16,17,16,18,17,18,13,9,10,13,13,16,17,17,16,16,13,10,8,10,12,13,15,17,18,18,19,19,19,16,15,17,15,16,16,15,16,17,18,18,17,17,18,17,18,16,14,16,15,16,17,14,10,9,11,15,14,15,13,16,15,16,16,15,13,11,12,13,15,14,14,13,13,12,10,8,13,14,17,16,15,13,10,11,12,13,13,13,13,13,11,10,13,13,12,14,14,13,12,12,14,14,14,14,14,13,15,14,14,14,16,14,13,16,14,15,15,16,14,13,16,14,16,15,15,15,16,16,15,16,14,15,16,14,14,16,15,15,14,16,16,15,16,14,16
,Fiji,-17.7134,178.065,21,18,19,19,20,21,23,24,23,22,22,22,23,23,23,24,23,24,23,21,20,18,19,21,21,21,22,22,22,23,23,23,24,21,22,22,23,24,24,24,24,24,25,25,24,22,21,21,22,19,18,20,21,22,20,20,24,24,23,24,23,23,21,20,22,22,23,23,24,23,23,23,23,24,24,24,24,23,23,23,22,23,23,22,23,23,23,24,23,23,22,23,23,23,22,23,23,23,24,23,22,21,21,22,22,23,22,21,23,23,23,23,23,23,23,23,23,23,22,21,21,22,23,23,22,21,21,23,23,21,18,19,21,21,20,20,20,20,18,17,18,18,17,20,22,18,18,21,20,20,21,22,22,23,23,22,22,22,22,23,21,20,19,18,17,17,18,17,17,18,18,18,19,21,22,22,23,22,22,22,22,18,16,16,16,19,20,21,22,20,19,19,19,19,19,19,18,19,22,22,20,16,16,15,16,20,21,19,17,17,16,16,20,21,22,21,19,19,19,18,17,16,18,18
,Finland,61.92411,25.748151,-3,-1,0,-6,-13,-4,0,0,-5,-8,-6,0,-4,-3,0,0,-1,0,-3,-3,-3,-7,-7,-4,-7,-6,-15,-4,-3,-5,-6,-5,0,-9,-14,-9,-15,-13,-4,-1,0,-2,-2,-2,-6,-4,0,0,0,-2,-9,-2,0,-2,-8,-11,-13,-17,-16,-15,-5,-3,-4,-5,-1,-4,-5,-5,0,0,0,-1,-6,-17,-9,-4,-7,0,-2,-13,-14,-16,-8,-7,-6,0,-2,-7,-20,-20,-13,-6,-4,-4,-8,-12,-5,0,-1,-2,-6,-8,-3,-3,-3,-2,-4,-4,-3,0,-2,-5,-6,-5,-9,-6,-7,-4,-5,-7,-6,-2,4,1,-2,-3,-4,-3,-1,-3,0,-5,-3,-4,-5,0,-2,0,0,0,-3,-1,0,-3,0,1,5,1,1,2,2,7,4,1,5,10,10,5,7,10,6,8,8,8,8,8,11,14,15,13,11,7,6,10,12,13,12,14,9,8,12,12,5,10,10,8,11,11,9,8,8,10,9,9,8,9,10,12,13,14,14,15,11,9,8,11,11,11,13,14,11,10,9,12,14,12,10,12,14,15,15,8,7,6
French Guiana,France,3.9339,-53.1258,19,18,19,20,21,21,20,21,21,20,19,18,20,21,22,22,22,22,21,21,21,19,18,17,19,22,22,22,21,21,22,22,19,19,20,20,20,18,19,19,19,21,22,20,20,19,21,21,20,20,19,19,19,22,23,22,21,18,18,19,19,20,20,21,20,19,19,20,19,18,19,18,18,19,19,19,20,19,22,20,19,20,21,21,22,22,22,22,22,22,22,22,22,22,22,23,22,23,24,23,22,23,22,21,20,20,21,22,21,22,21,21,21,21,20,21,22,22,22,21,22,23,23,22,22,22,22,21,22,22,22,23,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,21,22,22,22,21,22,22,21,22,22,22,21,22,22,22,21,22,22,22,22,21,22,22,21,22,22,22,22,21,22,22,21,22,21,22,22,21,22,22,20,21,21,22,21,22,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,20,22,21,21,21,20,21,20,21,21,21,22,20
French Polynesia,France,-17.6797,149.4068,23,24,25,24,24,24,24,24,24,25,25,23,24,25,24,23,24,25,25,26,25,24,25,25,25,25,25,25,25,25,24,24,25,25,25,25,24,24,24,24,24,25,27,27,27,28,27,26,25,25,24,25,25,25,25,24,24,25,26,25,25,25,24,23,23,24,25,24,25,25,25,26,26,24,22,23,23,23,22,23,24,24,24,23,24,24,24,24,24,24,23,23,22,22,21,22,23,21,22,23,23,23,22,24,24,24,25,24,24,23,23,22,22,22,23,24,22,22,23,23,23,23,21,19,20,20,20,20,20,21,21,20,20,21,20,20,21,22,23,22,22,22,20,16,13,16,17,20,20,20,20,19,19,19,20,20,19,19,20,19,19,20,22,23,23,22,21,21,21,20,21,21,21,20,20,18,17,18,19,19,20,19,18,19,19,17,18,18,19,20,19,20,21,20,18,16,16,15,16,16,18,18,18,20,20,20,19,19,18,15,17,18,18,18,18,19,19,21,23,23,21,18,16,19
Guadeloupe,France,16.265,-61.551,22,22,22,22,22,22,21,21,22,21,21,21,21,20,21,21,21,21,21,21,20,21,21,22,22,22,21,21,21,21,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21,21,21,20,20,20,20,22,22,21,20,21,21,21,20,21,21,20,20,21,19,19,21,20,21,21,21,21,19,20,21,21,21,21,22,22,21,21,21,21,22,21,20,20,20,20,22,22,23,23,22,22,22,22,22,22,22,22,21,22,22,22,21,22,22,22,22,21,21,21,21,22,22,22,22,23,23,22,22,22,23,22,22,22,22,21,21,21,23,23,22,22,24,24,23,22,23,22,23,24,23,23,22,22,23,23,23,23,22,23,23,23,23,23,23,23,23,23,22,23,23,23,24,24,24,24,23,23,24,24,24,24,23,24,24,24,23,23,23,24,25,24,23,23,24,25,24,23,23,23,22,23,23,23,23,23,23,24,24,24,25,25,25,25,24,24,24,25,24,23,23,25,24,24,23,24
